Event,Column 1,Column 2,Column 3,Column 4,Column 5
Event 138713060,,,,,
Event 138713051,,,,,
Event 138713055,125.596,,,,
Event 138713072,59.9307,,,,
Event 138713092,,,,,
Event 138713063,,,,,
Event 138713086,,,,,
Event 138712990,,,,,
Event 138713064,39.1863,,,,
Event 138713021,,,,,
Event 138713115,,,,,
Event 138713085,,,,,
Event 138713082,,,,,
Event 138713077,,,,,
Event 138713123,,,,,
Event 138713136,,,,,
Event 138713139,,,,,
Event 138713067,,,,,
Event 138713125,24.5033,,,,
Event 138713087,,,,,
Event 138713089,,,,,
Event 138713143,,,,,
Event 138713156,,,,,
Event 138713168,,,,,
Event 138713117,,,,,
Event 138713142,,,,,
Event 138713119,,,,,
Event 138713150,,,,,
Event 138713183,61.9911,,,,
Event 138713184,,,,,
Event 138713200,,,,,
Event 138713124,,,,,
Event 138713186,,,,,
Event 138713178,182.152,,,,
Event 138713202,,,,,
Event 138713197,,,,,
Event 138713179,,,,,
Event 138713162,44.8463,,,,
Event 138713212,,,,,
Event 138713219,,,,,
Event 138713174,,,,,
Event 138713207,,,,,
Event 138713220,,,,,
Event 138713246,,,,,
Event 138713208,,,,,
Event 138713237,,,,,
Event 138713222,,,,,
Event 138713242,24.0444,,,,
Event 138713255,38.916,,,,
Event 138713236,76.9021,,,,
Event 138713245,,,,,
Event 138713235,60.6806,,,,
Event 138713240,,,,,
Event 138713221,,,,,
Event 138713265,,,,,
Event 138713271,77.3423,,,,
Event 138713281,,,,,
Event 138713258,,,,,
Event 138713301,,,,,
Event 138713252,,,,,
Event 138713278,,,,,
Event 138713287,,,,,
Event 138713305,56.8282,,,,
Event 138713303,,,,,
Event 138713309,,,,,
Event 138713268,,,,,
Event 138713314,,,,,
Event 138713254,7.77855,,,,
Event 138713345,,,,,
Event 138713325,,,,,
Event 138713112,,,,,
Event 138713324,,,,,
Event 138713277,47.8842,,,,
Event 138713344,,,,,
Event 138713327,,,,,
Event 138713352,,,,,
Event 138713312,31.0752,,,,
Event 138713304,,,,,
Event 138713288,,,,,
Event 138713375,20.8599,,,,
Event 138713384,,,,,
Event 138713357,,,,,
Event 138713390,32.1518,,,,
Event 138713383,43.6633,,,,
Event 138713389,,,,,
Event 138713393,,,,,
Event 138713406,,,,,
Event 138713409,,,,,
Event 138713355,42.9935,,,,
Event 138713400,53.9531,,,,
Event 138713405,30.3199,,,,
Event 138713407,12.7213,,,,
Event 138713328,,,,,
Event 138713424,39.8181,,,,
Event 138713436,62.3671,,,,
Event 138713386,72.1055,,,,
Event 138713425,,,,,
Event 138713426,82.4753,,,,
Event 138713417,,,,,
Event 138713438,,,,,
Event 138713444,,,,,
Event 138713462,40.7561,,,,
Event 138713465,,,,,
Event 138713451,,,,,
Event 138713408,,,,,
Event 138713469,,,,,
Event 138713453,,,,,
Event 138713480,31.8615,,,,
Event 138713478,,,,,
Event 138713434,123.087,,,,
Event 138713510,62.297,,,,
Event 138713494,,,,,
Event 138713500,,,,,
Event 138713486,,,,,
Event 138713531,,,,,
Event 138713534,,,,,
Event 138713516,40.4942,,,,
Event 138713446,,,,,
Event 138713513,,,,,
Event 138713537,,,,,
Event 138713427,19.6395,,,,
Event 138713544,,,,,
Event 138713551,,,,,
Event 138713496,9.59559,,,,
Event 138713514,,,,,
Event 138713569,39.3167,,,,
Event 138713532,21.2842,,,,
Event 138713565,,,,,
Event 138713567,53.0329,,,,
Event 138713580,,,,,
Event 138713581,,,,,
Event 138713558,22.1444,,,,
Event 138713572,,,,,
Event 138713539,163.39,,,,
Event 138713573,42.3533,,,,
Event 138713546,,,,,
Event 138713582,71.5069,,,,
Event 138713598,,,,,
Event 138713605,,,,,
Event 138713590,,,,,
Event 138713612,,,,,
Event 138713594,,,,,
Event 138713639,83.1311,,,,
Event 138713583,53.5865,,,,
Event 138713634,,,,,
Event 138713653,,,,,
Event 138713628,,,,,
Event 138713629,,,,,
Event 138713610,,,,,
Event 138713604,,,,,
Event 138713680,,,,,
Event 138713658,,,,,
Event 138713686,,,,,
Event 138713615,,,,,
Event 138713664,,,,,
Event 138713657,,,,,
Event 138713682,,,,,
Event 138713713,,,,,
Event 138713725,,,,,
Event 138713720,,,,,
Event 138713645,,,,,
Event 138713711,46.0267,,,,
Event 138713676,,,,,
Event 138713741,,,,,
Event 138713755,,,,,
Event 138713693,,,,,
Event 138713788,49.9014,,,,
Event 138713753,58.6477,,,,
Event 138713732,,,,,
Event 138713779,,,,,
Event 138713775,,,,,
Event 138713737,,,,,
Event 138713756,,,,,
Event 138713697,,,,,
Event 138713800,,,,,
Event 138713747,124.586,,,,
Event 138713759,33.5524,,,,
Event 138713828,,,,,
Event 138713845,,,,,
Event 138713816,,,,,
Event 138713826,,,,,
Event 138713843,,,,,
Event 138713811,,,,,
Event 138713782,,,,,
Event 138713760,,,,,
Event 138713852,,,,,
Event 138713855,,,,,
Event 138713869,69.8826,,,,
Event 138713870,,,,,
Event 138713862,,,,,
Event 138713872,74.3458,,,,
Event 138713889,,,,,
Event 138713859,,,,,
Event 138713832,39.9218,,,,
Event 138713837,,,,,
Event 138713888,12.5167,,,,
Event 138713873,103.534,,,,
Event 138713874,,,,,
Event 138713892,,,,,
Event 138713901,,,,,
Event 138713729,50.5225,,,,
Event 138713909,,,,,
Event 138713903,60.9918,,,,
Event 138713912,,,,,
Event 138713880,,,,,
Event 138713896,,,,,
Event 138713914,,,,,
Event 138713928,,,,,
Event 138713918,,,,,
Event 138713945,,,,,
Event 138713931,32.6565,,,,
Event 138713934,,,,,
Event 138713879,108.869,,,,
Event 138713955,,,,,
Event 138713966,,,,,
Event 138713968,,,,,
Event 138713973,,,,,
Event 138713940,,,,,
Event 138713963,,,,,
Event 138713829,,,,,
Event 138713916,52.4215,,,,
Event 138713982,,,,,
Event 138713992,,,,,
Event 138714045,,,,,
Event 138714022,,,,,
Event 138714001,,,,,
Event 138713986,62.2948,,,,
Event 138714027,,,,,
Event 138714035,,,,,
Event 138714043,,,,,
Event 138714072,,,,,
Event 138714018,,,,,
Event 138714068,,,,,
Event 138714069,23.9033,,,,
Event 138714070,56.1371,,,,
Event 138713972,,,,,
Event 138714084,,,,,
Event 138714053,106.314,,,,
Event 138714083,,,,,
Event 138714111,,,,,
Event 138713993,,,,,
Event 138714058,,,,,
Event 138714114,,,,,
Event 138714085,,,,,
Event 138714110,,,,,
Event 138714076,,,,,
Event 138714124,8.27813,,,,
Event 138714120,,,,,
Event 138714113,,,,,
Event 138714026,,,,,
Event 138714145,38.6689,,,,
Event 138714138,33.9792,,,,
Event 138714146,,,,,
Event 138714136,55.9578,,,,
Event 138714152,,,,,
Event 138714155,,,,,
Event 138714143,85.416,,,,
Event 138714172,,,,,
Event 138714144,53.3328,,,,
Event 138714153,60.4704,,,,
Event 138714199,54.7387,,,,
Event 138714162,,,,,
Event 138714200,,,,,
Event 138714154,,,,,
Event 138714194,28.7884,,,,
Event 138714128,,,,,
Event 138714151,30.735,,,,
Event 138714234,14.719,,,,
Event 138714195,,,,,
Event 138714227,,,,,
Event 138714245,37.2872,,,,
Event 138714206,49.1272,,,,
Event 138714263,,,,,
Event 138714239,,,,,
Event 138714273,,,,,
Event 138714287,13.5053,,,,
Event 138714253,,,,,
Event 138714309,,,,,
Event 138714333,,,,,
Event 138714223,,,,,
Event 138714259,,,,,
Event 138714305,,,,,
Event 138714265,,,,,
Event 138714246,31.9798,,,,
Event 138714320,26.2612,,,,
Event 138714292,,,,,
Event 138714344,,,,,
Event 138714313,52.816,,,,
Event 138714341,,,,,
Event 138714312,,,,,
Event 138714357,,,,,
Event 138714340,,,,,
Event 138714343,,,,,
Event 138714311,,,,,
Event 138714390,33.2658,,,,
Event 138714388,,,,,
Event 138714348,,,,,
Event 138714362,22.3546,,,,
Event 138714395,,,,,
Event 138714403,,,,,
Event 138714369,,,,,
Event 138714392,,,,,
Event 138714414,,,,,
Event 138714380,,,,,
Event 138714404,29.5238,,,,
Event 138714444,,,,,
Event 138714427,,,,,
Event 138714425,,,,,
Event 138714391,,,,,
Event 138714430,,,,,
Event 138714443,,,,,
Event 138714431,33.9756,,,,
Event 138714481,,,,,
Event 138714456,85.0735,,,,
Event 138714473,,,,,
Event 138714500,,,,,
Event 138714400,159.384,,,,
Event 138714441,50.2961,,,,
Event 138714477,,,,,
Event 138714466,39.5851,,,,
Event 138714508,,,,,
Event 138714356,,,,,
Event 138714505,,,,,
Event 138714421,,,,,
Event 138714539,,,,,
Event 138714521,,,,,
Event 138714528,,,,,
Event 138714498,,,,,
Event 138714526,,,,,
Event 138714509,,,,,
Event 138714489,,,,,
Event 138714518,25.9257,,,,
Event 138714565,,,,,
Event 138714529,,,,,
Event 138714579,,,,,
Event 138714540,,,,,
Event 138714531,,,,,
Event 138714584,,,,,
Event 138714555,,,,,
Event 138714558,75.7501,,,,
Event 138714585,,,,,
Event 138714582,,,,,
Event 138714576,,,,,
Event 138714562,48.0964,,,,
Event 138714610,15.1683,,,,
Event 138714609,,,,,
Event 138714597,52.5019,,,,
Event 138714544,,,,,
Event 138714590,,,,,
Event 138714622,,,,,
Event 138714598,93.0957,,,,
Event 138714616,85.7103,,,,
Event 138714593,191.1,,,,
Event 138714629,,,,,
Event 138714615,,,,,
Event 138714573,28.5685,,,,
Event 138714618,,,,,
Event 138714631,30.7533,,,,
Event 138714569,,,,,
Event 138714627,,,,,
Event 138714680,31.8326,,,,
Event 138714642,108.051,,,,
Event 138714644,,,,,
Event 138714667,,,,,
Event 138714649,,,,,
Event 138714643,,,,,
Event 138714665,29.9261,,,,
Event 138714683,,,,,
Event 138714682,,,,,
Event 138714706,,,,,
Event 138714641,,,,,
Event 138714693,,,,,
Event 138714730,,,,,
Event 138714714,,,,,
Event 138714681,,,,,
Event 138714735,,,,,
Event 138714687,,,,,
Event 138714721,,,,,
Event 138714727,,,,,
Event 138714720,,,,,
Event 138714742,33.5542,,,,
Event 138714737,45.7727,,,,
Event 138714736,58.3752,,,,
Event 138714725,,,,,
Event 138714743,,,,,
Event 138714701,126.491,,,,
Event 138714765,,,,,
Event 138714748,,,,,
Event 138714750,,,,,
Event 138714739,35.3471,,,,
Event 138714770,26.0782,,,,
Event 138714779,77.1344,,,,
Event 138714768,,,,,
Event 138714759,,,,,
Event 138714752,,,,,
Event 138714787,72.6561,,,,
Event 138714802,29.7061,,,,
Event 138714757,,,,,
Event 138714793,68.0933,,,,
Event 138714824,,,,,
Event 138714808,34.1927,,,,
Event 138714792,,,,,
Event 138714814,57.6044,,,,
Event 138714819,54.6332,48.6188,,,
Event 138714822,,,,,
Event 138714827,,,,,
Event 138714815,,,,,
Event 138714812,,,,,
Event 138714826,,,,,
Event 138714755,26.2791,,,,
Event 138714825,130.372,,,,
Event 138714831,,,,,
Event 138714845,77.7766,,,,
Event 138714799,,,,,
Event 138714844,,,,,
Event 138714851,52.4876,,,,
Event 138714857,,,,,
Event 138714852,,,,,
Event 138714861,26.3914,,,,
Event 138714873,42.6262,,,,
Event 138714850,,,,,
Event 138714894,,,,,
Event 138714869,,,,,
Event 138714882,,,,,
Event 138714876,124.319,,,,
Event 138714887,,,,,
Event 138714908,29.9763,,,,
Event 138714885,,,,,
Event 138714867,,,,,
Event 138714881,59.0307,,,,
Event 138714896,75.4621,,,,
Event 138714913,,,,,
Event 138714919,,,,,
Event 138714934,,,,,
Event 138714937,101.424,,,,
Event 138714931,,,,,
Event 138714933,,,,,
Event 138714952,,,,,
Event 138714895,87.4632,,,,
Event 138714938,16.7227,,,,
Event 138714943,,,,,
Event 138714963,,,,,
Event 138714978,,,,,
Event 138715000,101.021,,,,
Event 138714966,,,,,
Event 138714917,,,,,
Event 138714992,,,,,
Event 138714990,,,,,
Event 138714941,,,,,
Event 138715016,,,,,
Event 138715006,,,,,
Event 138715004,,,,,
Event 138715001,41.0729,,,,
Event 138715025,26.6246,,,,
Event 138715020,,,,,
Event 138715003,,,,,
Event 138714970,,,,,
Event 138715007,,,,,
Event 138715049,85.0108,,,,
Event 138715058,36.4646,,,,
Event 138715019,,,,,
Event 138715026,,,,,
Event 138715060,124.583,,,,
Event 138715052,82.1457,,,,
Event 138715012,30.1244,15.0554,,,
Event 138715035,,,,,
Event 138715061,,,,,
Event 138715070,,,,,
Event 138715062,,,,,
Event 138715082,,,,,
Event 138715057,,,,,
Event 138715048,37.7167,,,,
Event 138715065,,,,,
Event 138715095,42.4611,,,,
Event 138715073,,,,,
Event 138715068,,,,,
Event 138715094,,,,,
Event 138715102,25.2492,,,,
Event 138715090,,,,,
Event 138715116,34.2857,,,,
Event 138715112,,,,,
Event 138715053,,,,,
Event 138715081,,,,,
Event 138715108,,,,,
Event 138715113,38.8732,,,,
Event 138715119,,,,,
Event 138715083,20.8454,,,,
Event 138715146,,,,,
Event 138715123,,,,,
Event 138715143,,,,,
Event 138715128,47.786,,,,
Event 138715130,,,,,
Event 138715118,,,,,
Event 138715154,,,,,
Event 138715157,,,,,
Event 138715151,,,,,
Event 138715132,26.5861,,,,
Event 138715139,,,,,
Event 138715147,51.917,,,,
Event 138715192,44.145,,,,
Event 138715175,,,,,
Event 138715178,,,,,
Event 138715131,,,,,
Event 138715150,,,,,
Event 138715197,,,,,
Event 138715160,,,,,
Event 138715162,,,,,
Event 138715189,,,,,
Event 138715184,,,,,
Event 138715193,,,,,
Event 138715198,54.6803,,,,
Event 138715212,,,,,
Event 138715227,,,,,
Event 138715235,23.9779,,,,
Event 138715223,,,,,
Event 138715213,,,,,
Event 138715248,60.1912,,,,
Event 138715233,,,,,
Event 138715249,,,,,
Event 138715239,,,,,
Event 138715215,23.0204,,,,
Event 138715257,,,,,
Event 138715260,,,,,
Event 138715272,49.0409,,,,
Event 138715269,,,,,
Event 138715273,,,,,
Event 138715266,,,,,
Event 138715229,,,,,
Event 138715292,36.3045,,,,
Event 138715296,47.6017,,,,
Event 138715313,,,,,
Event 138715286,,,,,
Event 138715283,20.5537,,,,
Event 138715303,47.5717,,,,
Event 138715318,,,,,
Event 138715315,,,,,
Event 138715350,,,,,
Event 138715325,51.8743,,,,
Event 138715332,,,,,
Event 138715367,,,,,
Event 138715319,,,,,
Event 138715320,,,,,
Event 138715382,,,,,
Event 138715360,,,,,
Event 138715381,,,,,
Event 138715368,,,,,
Event 138715388,,,,,
Event 138715293,,,,,
Event 138715392,,,,,
Event 138715429,,,,,
Event 138715419,,,,,
Event 138715432,,,,,
Event 138715424,,,,,
Event 138715387,71.4798,,,,
Event 138715447,,,,,
Event 138715335,26.8351,,,,
Event 138715436,18.7678,,,,
Event 138715383,,,,,
Event 138715410,,,,,
Event 138715430,,,,,
Event 138715439,,,,,
Event 138715452,,,,,
Event 138715435,,,,,
Event 138715463,74.5956,,,,
Event 138715431,,,,,
Event 138715453,,,,,
Event 138715503,70.414,,,,
Event 138715481,100.063,,,,
Event 138715474,,,,,
Event 138715518,,,,,
Event 138715498,,,,,
Event 138715512,,,,,
Event 138715527,,,,,
Event 138715471,,,,,
Event 138715466,10.7688,,,,
Event 138715523,43.5955,,,,
Event 138715533,,,,,
Event 138715544,,,,,
Event 138715555,,,,,
Event 138715560,,,,,
Event 138715535,53.0725,,,,
Event 138715558,66.9662,,,,
Event 138715566,,,,,
Event 138715458,,,,,
Event 138715556,,,,,
Event 138715534,,,,,
Event 138715563,52.5697,,,,
Event 138715572,,,,,
Event 138715552,14.5429,,,,
Event 138715478,,,,,
Event 138715577,,,,,
Event 138715564,,,,,
Event 138715587,,,,,
Event 138715606,,,,,
Event 138715567,,,,,
Event 138715585,,,,,
Event 138715603,,,,,
Event 138715537,,,,,
Event 138715600,,,,,
Event 138715626,,,,,
Event 138715618,67.7912,,,,
Event 138715602,,,,,
Event 138715631,,,,,
Event 138715574,,,,,
Event 138715622,40.1301,,,,
Event 138715635,,,,,
Event 138715638,,,,,
Event 138715637,,,,,
Event 138715613,,,,,
Event 138715644,,,,,
Event 138715641,,,,,
Event 138715608,,,,,
Event 138715645,36.3313,,,,
Event 138715660,43.7668,,,,
Event 138715647,22.498,,,,
Event 138715657,47.9265,,,,
Event 138715665,,,,,
Event 138715672,,,,,
Event 138715648,,,,,
Event 138715653,,,,,
Event 138715667,,,,,
Event 138715673,,,,,
Event 138715677,,,,,
Event 138715680,,,,,
Event 138715646,,,,,
Event 138715633,,,,,
Event 138715699,,,,,
Event 138715674,36.7863,,,,
Event 138715708,,,,,
Event 138715706,72.9842,,,,
Event 138715702,,,,,
Event 138715686,,,,,
Event 138715721,,,,,
Event 138715707,,,,,
Event 138715724,,,,,
Event 138715711,115.089,,,,
Event 138715738,,,,,
Event 138715723,,,,,
Event 138715752,,,,,
Event 138715726,,,,,
Event 138715739,,,,,
Event 138715740,,,,,
Event 138715744,,,,,
Event 138715762,,,,,
Event 138715712,,,,,
Event 138715747,41.1117,,,,
Event 138715760,,,,,
Event 138715732,,,,,
Event 138715791,,,,,
Event 138715783,,,,,
Event 138715777,,,,,
Event 138715805,35.7067,,,,
Event 138715755,,,,,
Event 138715759,174.697,,,,
Event 138715810,,,,,
Event 138715808,,,,,
Event 138715827,,,,,
Event 138715794,,,,,
Event 138715811,,,,,
Event 138715809,38.9542,,,,
Event 138715824,,,,,
Event 138715796,,,,,
Event 138715860,,,,,
Event 138715750,,,,,
Event 138715859,,,,,
Event 138715826,,,,,
Event 138715867,,,,,
Event 138715864,,,,,
Event 138715773,,,,,
Event 138715788,,,,,
Event 138715873,,,,,
Event 138715869,,,,,
Event 138715858,,,,,
Event 138715884,,,,,
Event 138715894,,,,,
Event 138715782,57.2259,,,,
Event 138715863,,,,,
Event 138715886,,,,,
Event 138715878,44.4938,,,,
Event 138715903,,,,,
Event 138715910,,,,,
Event 138715895,,,,,
Event 138715904,23.0717,,,,
Event 138715920,,,,,
Event 138715818,18.7385,,,,
Event 138715913,,,,,
Event 138715888,,,,,
Event 138715881,,,,,
Event 138715923,6.96187,,,,
Event 138715947,,,,,
Event 138715909,,,,,
Event 138715906,,,,,
Event 138715918,,,,,
Event 138715958,,,,,
Event 138715932,,,,,
Event 138715969,,,,,
Event 138715928,,,,,
Event 138715959,,,,,
Event 138715921,96.393,,,,
Event 138715963,,,,,
Event 138715980,5.4738,,,,
Event 138715938,,,,,
Event 138715993,36.2664,,,,
Event 138715943,,,,,
Event 138715972,,,,,
Event 138716010,,,,,
Event 138715914,,,,,
Event 138716017,,,,,
Event 138715939,,,,,
Event 138716027,,,,,
Event 138716016,,,,,
Event 138715979,,,,,
Event 138716006,40.2603,,,,
Event 138716028,,,,,
Event 138716007,,,,,
Event 138716048,,,,,
Event 138716029,,,,,
Event 138716072,74.7996,,,,
Event 138716038,,,,,
Event 138716063,,,,,
Event 138716049,,,,,
Event 138716076,39.3828,,,,
Event 138716056,,,,,
Event 138716071,,,,,
Event 138715949,119.61,,,,
Event 138716094,,,,,
Event 138716088,25.6011,,,,
Event 138716108,,,,,
Event 138715967,,,,,
Event 138716091,,,,,
Event 138716066,,,,,
Event 138716089,,,,,
Event 138716115,,,,,
Event 138716123,,,,,
Event 138716090,10.106,,,,
Event 138716119,,,,,
Event 138716129,,,,,
Event 138716130,,,,,
Event 138716103,,,,,
Event 138716118,,,,,
Event 138716087,,,,,
Event 138716121,52.9052,,,,
Event 138716114,,,,,
Event 138716142,,,,,
Event 138716150,102.399,,,,
Event 138716112,,,,,
Event 138716163,10.5797,,,,
Event 138716152,51.5482,,,,
Event 138716157,,,,,
Event 138716156,,,,,
Event 138716146,,,,,
Event 138716124,82.3681,,,,
Event 138716167,,,,,
Event 138716213,,,,,
Event 138716187,,,,,
Event 138716192,,,,,
Event 138716215,,,,,
Event 138716220,,,,,
Event 138716229,,,,,
Event 138716206,,,,,
Event 138716132,87.7507,,,,
Event 138716235,,,,,
Event 138716245,26.0247,,,,
Event 138716200,,,,,
Event 138716186,,,,,
Event 138716177,57.5927,,,,
Event 138716254,,,,,
Event 138716172,,,,,
Event 138716237,,,,,
Event 138716257,42.1763,,,,
Event 138716221,39.155,,,,
Event 138716234,12.2566,,,,
Event 138716251,86.2896,,,,
Event 138716232,27.9411,,,,
Event 138716253,,,,,
Event 138716256,,,,,
Event 138716208,24.8598,,,,
Event 138716252,,,,,
Event 138716259,55.2907,,,,
Event 138716270,,,,,
Event 138716273,,,,,
Event 138716286,,,,,
Event 138716276,,,,,
Event 138716272,7.51501,,,,
Event 138716287,46.2343,,,,
Event 138716306,,,,,
Event 138716228,130.217,,,,
Event 138716303,,,,,
Event 138716260,,,,,
Event 138716267,,,,,
Event 138716302,37.0092,,,,
Event 138716285,,,,,
Event 138716348,,,,,
Event 138716307,72.669,,,,
Event 138716319,,,,,
Event 138716313,33.6021,,,,
Event 138716318,,,,,
Event 138716288,,,,,
Event 138716275,,,,,
Event 138716340,,,,,
Event 138716362,,,,,
Event 138716328,,,,,
Event 138716370,81.328,,,,
Event 138716352,,,,,
Event 138716388,,,,,
Event 138716387,,,,,
Event 138716327,,,,,
Event 138716365,,,,,
Event 138716323,,,,,
Event 138716375,,,,,
Event 138716381,,,,,
Event 138716398,,,,,
Event 138716347,,,,,
Event 138716399,,,,,
Event 138716389,,,,,
Event 138716431,,,,,
Event 138716397,,,,,
Event 138716390,60.5924,,,,
Event 138716409,24.6229,,,,
Event 138716427,41.3182,,,,
Event 138716378,98.9546,,,,
Event 138716436,76.8827,,,,
Event 138716413,,,,,
Event 138716440,,,,,
Event 138716449,,,,,
Event 138716377,,,,,
Event 138716454,,,,,
Event 138716447,,,,,
Event 138716469,,,,,
Event 138716452,,,,,
Event 138716492,,,,,
Event 138716441,,,,,
Event 138716495,,,,,
Event 138716493,43.0516,,,,
Event 138716490,,,,,
Event 138716494,,,,,
Event 138716395,,,,,
Event 138716456,,,,,
Event 138716488,,,,,
Event 138716518,22.6051,,,,
Event 138716479,103.612,,,,
Event 138716496,24.3916,,,,
Event 138716513,,,,,
Event 138716499,71.0149,,,,
Event 138716524,,,,,
Event 138716498,,,,,
Event 138716508,,,,,
Event 138716445,57.8439,,,,
Event 138716530,25.2821,,,,
Event 138716532,,,,,
Event 138716562,183.505,,,,
Event 138716543,,,,,
Event 138716533,,,,,
Event 138716560,28.4611,,,,
Event 138716569,,,,,
Event 138716545,,,,,
Event 138716576,,,,,
Event 138716580,,,,,
Event 138716544,,,,,
Event 138716585,,,,,
Event 138716579,,,,,
Event 138716583,,,,,
Event 138716606,,,,,
Event 138716623,,,,,
Event 138716602,,,,,
Event 138716536,,,,,
Event 138716624,,,,,
Event 138716598,,,,,
Event 138716600,,,,,
Event 138716613,78.4424,,,,
Event 138716547,148.315,,,,
Event 138716638,,,,,
Event 138716669,,,,,
Event 138716670,,,,,
Event 138716661,43.1166,,,,
Event 138716674,,,,,
Event 138716677,,,,,
Event 138716671,,,,,
Event 138716672,,,,,
Event 138716682,,,,,
Event 138716650,77.4024,,,,
Event 138716680,,,,,
Event 138716697,,,,,
Event 138716692,,,,,
Event 138716710,82.2993,,,,
Event 138716655,6.10217,,,,
Event 138716681,,,,,
Event 138716737,,,,,
Event 138716627,,,,,
Event 138716730,,,,,
Event 138716718,,,,,
Event 138716723,,,,,
Event 138716758,,,,,
Event 138716748,,,,,
Event 138716760,,,,,
Event 138716751,,,,,
Event 138716754,,,,,
Event 138716769,26.7294,,,,
Event 138716786,57.4525,,,,
Event 138716762,,,,,
Event 138716803,,,,,
Event 138716787,25.2571,,,,
Event 138716807,,,,,
Event 138716791,23.0039,,,,
Event 138716789,33.0411,,,,
Event 138716776,54.7613,,,,
Event 138716813,,,,,
Event 138716795,,,,,
Event 138716818,,,,,
Event 138716827,65.3208,,,,
Event 138716833,,,,,
Event 138716701,68.9547,,,,
Event 138716826,,,,,
Event 138716832,,,,,
Event 138716845,,,,,
Event 138716823,59.3319,,,,
Event 138716815,,,,,
Event 138716839,,,,,
Event 138716820,85.9302,,,,
Event 138716828,,,,,
Event 138716861,,,,,
Event 138716852,,,,,
Event 138716863,,,,,
Event 138716874,,,,,
Event 138716856,,,,,
Event 138716872,,,,,
Event 138716880,,,,,
Event 138716870,,,,,
Event 138716836,35.9346,,,,
Event 138716909,21.9075,,,,
